Country,Population,GDP (in billions),Area (in sq km),Per Capita Income
USA,331002651,21433200,9372610,64752351.48494324
China,1439323776,14342903,9596960,9965028.883119069
India,1380004385,2875140,3287263,2083428.162440223
Brazil,212559417,1839727,8515767,8655118.770861138
Canada,37742154,1774775,9984670,47023680.73639888
